%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711841002992867E9, 0.0, 2024-03-30 19:23:22.992
1.0, -109611.99368381426, -100157.02696526372, -115461.53461474593, -115458.8524054113, -110193.69783326362, -110323.02502668204, -109660.36285881554, -108255.06398142148, -0.01, 0.41400000000000003, 0.278, 192.0, 255.0, 176.0, 12.0, 240.0, 8.0, 176.0, 0.0, 0.0, 0.0, 1.711841003008834E9, 0.0, 2024-03-30 19:23:23.008
2.0, -109861.77442810232, -99942.9866603597, -115650.6974280712, -115661.15804447628, -110317.95118069068, -110437.22008910419, -109564.45152335781, -108046.81277833138, -0.01, 0.41400000000000003, 0.278, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711841003017644E9, 0.0, 2024-03-30 19:23:23.017
3.0, -109907.68491121351, -99815.82758615346, -115729.6661412318, -115758.90222297935, -110378.12207676437, -110505.90699981536, -109523.23490658223, -107995.04613817288, -0.01, 0.41400000000000003, 0.278, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711841003021738E9, 0.0, 2024-03-30 19:23:23.021
4.0, -109663.49210303929, -100005.14686168992, -115549.73459836657, -115568.08538056439, -110260.529549185, -110400.71969040867, -109604.93053256637, -108189.46161144515, -0.01, 0.41400000000000003, 0.278, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711841003024741E9, 0.0, 2024-03-30 19:23:23.024
5.0, -109580.79064855466, -100138.40796213246, -115442.2003557921, -115440.21105053557, -110179.99621391253, -110313.16790737724, -109647.46590226483, -108260.27193787956, -0.01, 0.41400000000000003, 0.278, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711841003028761E9, 0.0, 2024-03-30 19:23:23.028
6.0, -109813.31584612321, -99958.81169543407, -115606.37391881633, -115614.12997414231, -110284.42356400771, -110406.19586780023, -109564.33976463554, -108068.80689487541, -0.01, 0.41400000000000003, 0.278, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711841003031753E9, 0.0, 2024-03-30 19:23:23.031
7.0, -109923.28642884332, -99786.92678057276, -115732.41540579981, -115761.31621138052, -110377.2503587306, -110503.09068001398, -109506.58285696302, -107970.92860590562, -0.01, 0.41400000000000003, 0.278, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711841003034776E9, 0.0, 2024-03-30 19:23:23.034
8.0, -109705.53573435971, -99939.45508473578, -115584.9385958837, -115607.31269208345, -110284.24475005208, -110422.28912380805, -109574.82273278508, -108145.92041324622, -0.016, 0.618, 0.418, 192.0, 255.0, 128.0, 19.0, 80.0, 13.0, 16.0, 0.0, 0.0, 0.0, 1.711841003038858E9, 0.0, 2024-03-30 19:23:23.038
9.0, -109565.52440709167, -100119.49838632326, -115439.62990517974, -115439.249925524, -110180.68911799064, -110315.17956437822, -109634.81481490312, -108267.24568214962, -0.016, 0.618, 0.418, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.71184100304181E9, 0.0, 2024-03-30 19:23:23.041
